,Scan Date,Scan Number,Scan Link (office), Condition Score Graph Link,Overall Condition Score for Drain,Road,Direction,PSD Link (Office),Height (inches),Gain,Distance From C/W Edge (mm),Survey Distance (m),Filter Drain Length (m),Filter Drain Visible (Yes/No),Scheme Reference,Start Ref,End Ref,GPS Start X,GPS Start Y,GPS End X,GPS End Y,Photo One,"Photo
Two","Photo
Three",Video,Comment
96,2018-01-19,180119_M11_004,180119_M11_004_COND.jpg,180119_M11_004_COND_Report.pdf,4.0,M11,NBV,,15.0,16.0,600.0,426.0,426,Yes,11608.0,54/2,54/6+30,51.56.076,00.13.429,51.56.281,00.13.277,70.0,,,125,Filter drain present. Very silted. Dense vegetation. All lanes to verge. Medium grass batter.
97,2018-01-19,,,,,M11,NBV,,,,,132.0,0,No,11608.0,54/6+30,54/7+60,51.56.281,00.13.277,51.56.341,00.13.212,,,,126,No filter drain. Kerb and gully. All lanes to verge. Fall away batter.
98,2018-01-19,,,,,M11,NBV,,,,,1033.0,0,No,11608.0,54/7+60,55/7+90,51.56.341,00.13.212,51.56.856,00.12.947,,,,127,Kerb ends. No filter drain. Lanes switch to centre. Fall away batter.
99,2018-01-19,,,,,M11,NBV,,,,,725.0,0,No,11608.0,55/7+90,56/5+10,51.56.856,00.12.947,51.57.245,00.12.891,,,,"128, 129, 130",No filter drain. Kerb and gully. Fall away batter. Lanes switching to verge.
100,2018-01-19,180119_M11_005,180119_M11_005_COND.jpg,180119_M11_005_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,243.0,243,Yes,11608.0,56/5+10,56/7+50,51.57.245,00.12.891,51.57.370,00.12.839,71.0,,,131,Filter drain located behind kerb and gully. Clean stone. Light vegetation. Lanes adverse. Dense grass batter. 
101,2018-01-19,180119_M11_006,180119_M11_006_COND.jpg,180119_M11_006_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,98.0,98,Yes,11608.0,56/7+50,56/8+50,51.57.370,00.12.839,51.57.425,00.12.818,72.0,,,132,Filter drain present. Fairly clean stone. Light vegetation. Low grass batter. Lanes switching to centre.
102,2018-01-19,,,,,M11,NBV,,,,,70.0,70,Yes,11608.0,56/8+50,56/9+20,51.57.425,00.12.818,51.57.457,00.12.806,73.0,,,133,Filter drain continues within barrier. Concrete foundations. All lanes to centre. Dense grass batter. Dense vegetation.
103,2018-01-19,180119_M11_007,180119_M11_007_COND.jpg,180119_M11_007_COND_Report.pdf,4.0,M11,NBV,,15.0,16.0,600.0,195.0,195,Yes,11608.0,56/9+20,57/1+10,51.57.457,00.12.806,51.57.564,00.12.785,74.0,,,134,Filter drain present. Fairly clean silted stone. Light vegetation. Low grass batter. Lanes switching to centre.
104,2018-01-19,,,,,M11,NBV,,,,,81.0,81,Yes,11608.0,57/1+10,57/2,51.57.564,00.12.785,51.57.607,00.12.784,75.0,,,135,Filter drain continues within barrier. Concrete foundations. All lanes to centre. High grass batter. Dense vegetation.
105,2018-01-19,180119_M11_008,180119_M11_008_COND.jpg,180119_M11_008_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,354.0,354,Yes,11608.0,57/2,57/5+50,51.57.607,00.12.784,51.57.799,00.12.825,76.0,,,136,Filter drain present. Fairly clean silted stone. Light vegetation. High grass batter. Lanes switching to centre.
106,2018-01-19,180119_M11_009,180119_M11_009_COND.jpg,180119_M11_009_COND_Report.pdf,2.0,M11,NBV,,15.0,16.0,600.0,759.0,759,Yes,11608.0,57/5+50,58/3+10,51.57.799,00.12.825,51.58.200,00.12.806,77.0,,,137,Filter drain present behind kerb and gully. High grass batter. Lanes switching to verge. Clean stone with very light grass.
107,2018-01-19,,,,,M11,NBV,,,,,555.0,0,No,11608.0,58/3+10,58/8+80,51.58.200,00.12.806,51.58.459,00.12.586,,,,138,Filter drain ends. Kerb and gully continues. Fall away batter All lanes to verge.
108,2018-01-19,,,,,M11,NBV,,,,,82.0,82,Yes,11608.0,58/8+80,58/9+50,51.58.459,00.12.586,51.58.495,00.12.539,78.0,,,139,Filter drain present behind kerb and gully within barrier. Dense grass batter. All lanes to verge. Concrete barrier foundations.
109,2018-01-19,180119_M11_010,180119_M11_010_COND.jpg,180119_M11_010_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,110.0,110,Yes,11608.0,58/9+50,59/0+60,51.58.495,00.12.539,51.58.538,00.12.472,79.0,,,140,Filter drain present behind kerb and gully. Dense grass batter. All lanes to verge. Clean surface stone.
110,2018-01-19,,,,,M11,NBV,,,,,205.0,0,No,11608.0,59/0+60,59/2+70,51.58.538,00.12.472,51.58.612,00.12.338,,,,141,Filter drain ends. Kerb and gully continues. Fall away batter All lanes to verge.
111,2018-01-19,180119_M11_011,180119_M11_011_COND.jpg,180119_M11_011_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,194.0,194,Yes,11608.0,59/2+70,59/4+50,51.58.612,00.12.338,51.58.681,00.12.212,80.0,,,142,Filter drain present below carriageway. Lanes switching to centre. Dense grass batter. Clean stone.
112,2018-01-19,,,,,M11,NBV,,,,,127.0,127,Yes,11608.0,59/4+50,59/5+80,51.58.681,00.12.212,51.58.732,00.12.138,81.0,,,143,Filter drain continues within barrier. High grass batter. All lanes to centre. Concrete foundations. Light vegetation. Silted stone.
113,2018-01-19,,,,,M11,NBV,,,,,416.0,0,No,11608.0,59/5+80,59/9+90,51.58.732,00.12.138,51.58.919,00.11.940,,,,144,Filter drain ends within barrier. Fall away batter. All lanes to centre.
114,2018-01-19,180119_M11_012,180119_M11_012_COND.jpg,180119_M11_012_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,600.0,216.0,216,Yes,11608.0,59/9+90,60/2+10,51.58.919,00.11.940,51.59.027,00.11.873,82.0,,,145,Filter drain present. Silted below carriageway. Dense vegetation. Medium grass batter. All lanes to centre. 
115,2018-01-19,,,,,M11,NBV,,,,,84.0,84,Yes,11608.0,60/2+10,60/2+95,51.59.027,00.11.873,51.59.072,00.11.850,83.0,,,146,"Filter drain continues within barrier. Medium grass batter. All lanes to centre. Medium vegetation. Barrier ended at 60/2+70, last 20 metres was no filter drain, possibly an old emergancy services parking place."
116,2018-01-19,,,,,M11,NBV,,,,,366.0,0,No,11608.0,60/2+95,60/6+50,51.59.072,00.11.850,51.59.263,00.11.780,,,,147,No filter drain. V drain present. All lanes to centre. Medium grass batter.
117,2018-01-19,,,,,M11,NBV,,,,,314.0,0,No,11608.0,60/6+50,60/9+70,51.59.263,00.11.780,51.59.429,00.11.733,,,,148,V drain ends. Kerb and gully in place. All lanes to centre. Fall away batter.
118,2018-01-19,,,,,M11,NBV,,,,,672.0,0,No,11608.0,60/9+70,61/6+40,51.59.429,00.11.733,51.59.788,00.11.680,,,,149,No filter drain. V drain starts. Lanes adverse switching to centre. Medium grass batter. 
119,2018-01-19,,,,,M11,NBV,,,,,1170.0,0,No,11608.0,61/6+40,62/8,51.59.788,00.11.680,52.00.417,00.11.743,,,,150,V drain ends. Kerb and gully in place. Lanes adverse. Fall away batter.
120,2018-01-19,,,,,M11,NBV,,,,,719.0,0,No,11608.0,62/8,63/5+20,52.00.417,00.11.743,52.00.793,00.11.843,,,,151,No filter drain. V drain starts. Lanes adverse switching to centre. Medium grass batter. 
121,2018-01-19,,,,,M11,NBV,,,,,1242.0,0,No,11608.0,63/5+20,64/7+60,52.00.793,00.11.843,52.01.440,00.11.660,,,,152,V drain ends. Kerb and gully in place. Lanes adverse. Fall away batter.
122,2018-01-19,,,,,M11,NBV,,,,,153.0,0,No,11608.0,64/7+60,64/9,52.01.440,00.11.660,52.01.520,00.11.603,,,,153,No filter drain. V drain starts. Lanes adverse switching to centre. Medium grass batter. 
123,2018-01-19,180119_M11_013,180119_M11_013_COND.jpg,180119_M11_013_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,500.0,522.0,522,Yes,11608.0,64/9,65/4+40,52.01.520,00.11.603,52.01.783,00.11.440,84.0,,,154,Filter drain present. High grass batter. All lanes to centre. Dense vegetation. Silted. 
124,2018-01-19,,,,,M11,NBV,,,,,59.0,59,No,11608.0,65/4+40,65/4+90,52.01.783,00.11.440,52.01.814,00.11.427,85.0,,,155,Possible filter drain continues within barrier. Bridge deck within. High grass batter. All lanes to centre. Dense vegetation.
125,2018-01-19,180119_M11_014,180119_M11_014_COND.jpg,180119_M11_014_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,500.0,646.0,646,No,11608.0,65/4+90,66/1+40,52.01.814,00.11.427,52.02.154,00.11.349,86.0,,,156,Possible filter drain. Very dense and silted. High grass batter. All lanes to centre.
126,2018-01-19,,,,,M11,NBV,,,,,66.0,66,No,11608.0,66/1+40,66/1+90,52.02.154,00.11.349,52.02.187,00.11.351,87.0,,,157,Possible filter drain continues within barrier. Bridge deck within. High grass batter. All lanes to centre. Dense vegetation.
127,2018-01-19,180119_M11_015,180119_M11_015_COND.jpg,180119_M11_015_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,500.0,287.0,287,No,11608.0,66/1+90,66/4+90,52.02.187,00.11.351,52.02.344,00.11.358,88.0,,,158,Possible filter drain. Very dense and very silted. High grass batter. All lanes to centre.
128,2018-01-19,,,,,M11,NBV,,,,,63.0,63,No,11608.0,66/4+90,66/5+50,52.02.344,00.11.358,52.02.376,00.11.364,89.0,,,159,Possible filter drain continues within barrier. High grass batter. All lanes to centre. Dense vegetation.
129,2018-01-19,180119_M11_016,180119_M11_016_COND.jpg,180119_M11_016_COND_Report.pdf,3.0,M11,NBV,,15.0,16.0,500.0,439.0,439,No,11608.0,66/5+50,66/9+70,52.02.376,00.11.364,52.02.610,00.11.442,90.0,,,160,Possible filter drain. Very dense and very silted. High grass batter. All lanes to centre.
130,2018-01-19,,,,,M11,NBV,,,,,766.0,0,No,11608.0,66/9+70,67/7+40,52.02.610,00.11.442,52.03.013,00.11.531,,,,161,No filter drain. V drain in place. Lanes switching to verge. High grass batter.
131,2018-01-19,,,,,M11,NBV,,,,,357.0,0,No,11608.0,67/7+40,68/1,52.03.013,00.11.531,52.03.206,00.11.504,,,,162,V drain ends. No filter drain. Kerba and gully. Works unit entrance within. All lanes to verge. Fall away batter.
132,2018-02-07,,,,,M11,NBC,,,,,1161.0,0,No,11608.0,53/7,54/8,51.55.801,00.13.461,51.56.358,00.13.200,,,,,Hard standing. No Filter Drain. All lanes to verge
133,2018-02-07,180207_M11_001,180207_M11_001_COND.jpg,180207_M11_001_COND_Report.pdf,3.0,M11,NBC,,,,,1033.0,0,No,11608.0,54/8,55/8,51.56.358,00.13.200,51.56.859,00.12.986,,,,,No Filter Drain. V Drain in place. All lanes to centre. Scanned by accident
134,2018-02-07,,,,,M11,NBC,,,,,1027.0,0,No,11608.0,55/8,56/7+50,51.56.859,00.12.986,51.57.381,00.12.844,,,,,Hard standing. No Filter Drain. All lanes to verge
135,2018-02-07,,,,,M11,NBC,,,,,747.0,0,No,11608.0,56/7+50,57/5,51.57.381,00.12.844,51.57.762,00.12.820,,,,,No Filter Drain. V Drain in place. All lanes to centre
136,2018-02-07,,,,,M11,NBC,,,,,1866.0,0,No,11608.0,57/5,59/2+70,51.57.762,00.12.820,51.58.617,00.12.341,,,,,Hard standing. No Filter Drain. All lanes to verge
137,2018-02-07,,,,,M11,NBC,,,,,520.0,0,No,11608.0,59/2+70,59/7+90,51.58.617,00.12.341,51.58.834,00.12.027,,,,,No Filter Drain. V Drain in place. All lanes to centre
138,2018-02-07,180207_M11_002,180207_M11_002_COND.jpg,180207_M11_002_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,1200.0,245.0,245,No,11608.0,59/7+90,60/0+35,51.58.834,00.12.027,51.58.946,00.11.931,91.0,92.0,,180207_M11_002.avi,Possible Filter Drain. Light vegetation. Medium silt. All lanes to verge
139,2018-02-07,,,,,M11,NBC,,,,,209.0,0,No,11608.0,60/0+35,60/2+20,51.58.946,00.11.931,51.59.046,00.11.871,,,,,Hard standing. No Filter Drain. All lanes to centre
140,2018-02-07,,,,,M11,NBC,,,,,5005.0,0,No,11608.0,60/2+20,65/0,51.59.046,00.11.871,52.01.574,00.01.573,,,,,No Filter Drain. V Drain in place switches to hard standing. All lanes to centre. Switches to adverse camber.
141,2018-02-07,,,,,M11,NBC,,,,,949.0,0,No,11608.0,65/0,65/9,52.01.574,00.01.573,52.02.042,00.11.367,,,,,No Filter Drain. V Drain in place. All lanes to centre
142,2018-02-07,,,,,M11,NBC,,,,,142.0,0,No,11608.0,65/9,66/0+40,52.02.042,00.11.367,52.02.113,00.11.358,,,,,Hard standing. No Filter Drain. All lanes to centre
143,2018-02-07,,,,,M11,NBC,,,,,1021.0,0,No,11608.0,66/0+40,67/0,52.02.113,00.11.358,52.02.633,00.11.459,,,,,No Filter Drain. V Drain in place. All lanes to centre
144,2018-02-07,,,,,M11,NBC,,,,,1217.0,0,No,11608.0,67/0,68/2,52.02.633,00.11.459,52.03.253,00.11.495,,,,,Hard standing. No Filter Drain. All lanes to verge
145,2018-02-07,180207_M11_003,180207_M11_003_COND.jpg,180207_M11_003_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,300.0,300.0,300,No,11608.0,70/5,69/9,52.04.259,00.11.327,52.04.117,00.11.223,93.0,94.0,,180207_M11_003.avi,Possible Filter Drain. All Lanes to verge. Marker posts seem out due to our meterage. Trial Holes Needed 
146,2018-02-07,,,,,M11,SBC,,,,,270.0,0,No,11608.0,69/9,69/6,52.04.117,00.11.223,52.03.982,00.11.161,,,,,Hard standing. No Filter Drain. All lanes to verge. 
147,2018-02-07,,,,,M11,SBC,,,,,650.0,0,No,11608.0,68/8,68/1+50,52.03.402,00.11.450,52.03.214,00.11.515,,,,,Hard standing. No Filter Drain. All lanes to centre
148,2018-02-07,,,,,M11,SBC,,,,,1169.0,0,No,11608.0,68/1+50,67/0,52.03.214,00.11.515,52.02.622,00.11.459,,,,,No Filter Drain. V Drain in place. All lanes to centre
149,2018-02-07,,,,,M11,SBC,,,,,2237.0,0,No,11608.0,67/0,64/8+50,52.02.622,00.11.459,52.01.502,00.11.630,,,,,Hard standing. No Filter Drain. All lanes to verge
150,2018-02-07,,,,,M11,SBC,,,,,1872.0,0,No,11608.0,64/8+50,63/1,52.01.502,00.11.630,52.00.564,00.11.805,,,,,No Filter Drain. V Drain in place. All lanes to centre
151,2018-02-07,,,,,M11,SBC,,,,,3200.0,0,No,11608.0,63/1,60/0+30,52.00.564,00.11.805,51.58.943,00.11.941,,,,,Hard standing. No Filter Drain. All lanes to verge
152,2018-02-07,180207_M11_004,180207_M11_004_COND.jpg,180207_M11_004_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,300.0,281.0,281,No,11608.0,60/0+30,59/7+50,51.58.943,00.11.941,51.58.816,00.12.055,95.0,96.0,,180207_M11_004.avi,Possible Filter Drain. Light vegetation. Medium silt. All lanes to verge
153,2018-02-07,,,,,M11,SBC,,,,,580.0,0,No,11608.0,59/7+50,59/2+20,51.58.816,00.12.055,51.58.599,00.12.387,,,,,Hard standing. No Filter Drain. All lanes to verge
154,2018-02-07,,,,,M11,SBC,,,,,1800.0,0,No,11608.0,59/2+20,57/5,51.58.599,00.12.387,51.57.767,00.12.835,,,,,No Filter Drain. V Drain in place. All lanes to centre
155,2018-02-07,,,,,M11,SBC,,,,,800.0,0,No,11608.0,57/5,56/7+20,51.57.767,00.12.835,51.57.360,00.12.860,,,,,Hard standing. No Filter Drain. All lanes to verge
156,2018-02-07,,,,,M11,SBC,,,,,1072.0,0,No,11608.0,56/7+20,55/7,51.57.360,00.12.860,51.56.814,00.12.961,,,,,No Filter Drain. V Drain in place. All lanes to centre
157,2018-02-07,,,,,M11,SBC,,,,,1100.0,0,No,11608.0,55/7,54/7,51.56.814,00.12.961,51.56.343,00.13.480,,,,,Hard standing. No Filter Drain. All lanes to verge
158,2018-02-07,,,,,M11,SBC,,,,,2101.0,0,No,11608.0,49/7,47/7,51.53.762,00.12.990,51.52.807,00.12.805,,,,,Hard standing. No Filter Drain. All lanes to verge
159,2018-02-08,,,,,M11,SBC,,,,,1564.0,0,No,11608.0,44/9,43/4,51.51.443,00.11.215,51.50.676,00.11.284,,,,,"No filter drain. Double barerier, lamp colums every 20m. All lanes to verge. Switches to hardstanding."
160,2018-02-08,,,,,M11,SBC,,,,,5043.0,0,No,11608.0,43/4,38/6,51.50.676,00.11.284,51.48.276,00.10.572,,,,,HardStanding. Switches to V drain. All lanes to centre.
161,2018-02-08,,,,,M11,SBC,,,,,6270.0,0,No,11608.0,38/6,32/6,51.48.276,00.10.572,51.45.289,00.08.781,,,,,Hard standing. No Filter Drain. Adverse camber
162,2018-02-08,,,,,M11,SBC,,,,,1024.0,0,No,11608.0,32/6,31/6+50,51.45.289,00.08.781,51.44.811,00.08.435,,,,,No Filter drain. V drain in place. All lanes to centre
163,2018-02-08,,,,,M11,SBC,,,,,1690.0,0,No,11608.0,31/6+50,30/0,51.44.811,00.08.435,51.43.978,00.08.310,,,,,No Filter drain. Hardstanding. All laes to verge.
164,2018-02-08,180208_M11_001,180208_M11_001_COND.jpg,180208_M11_001_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,762.0,762,No,11608.0,30/0,29/3,51.43.978,00.08.310,51.43.594,00.08.447,97.0,98.0,,180208_M11_001.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to centre.
165,2018-02-08,180208_M11_002,180208_M11_002_COND.jpg,180208_M11_002_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,320.0,320,No,11608.0,29/3,28/9+80,51.43.594,00.08.447,51.43.431,00.08.489,99.0,100.0,,180208_M11_002.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to centre.
166,2018-02-08,,,,,M11,SBC,,,,,101.0,0,No,11608.0,28/9+80,28/8+80,51.43.431,00.08.489,51.43.377,00.08.501,,,,006,Possible filter drain between double barrier. Unable to scan.
167,2018-02-08,180208_M11_003,180208_M11_003_COND.jpg,180208_M11_003_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,738.0,738,No,11608.0,28/8+80,28/2,51.43.377,00.08.501,51.43.006,00.08.610,101.0,102.0,,180208_M11_003.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to centre.
168,2018-02-08,180208_M11_004,180208_M11_004_COND.jpg,180208_M11_004_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,30.0,30,No,11608.0,28/2,28/1+70,51.43.006,00.08.610,51.42.990,00.08.617,103.0,104.0,,180208_M11_004.avi,Possible filter drain. Light Vegetation. Very silted. Lanes switch to verge
169,2018-02-08,,,,,M11,SBC,,,,,205.0,0,No,11608.0,28/1+70,27/9+50,51.42.990,00.08.617,51.42.888,0.08.656,,,,,No Filter drain. Hardstanding. All laes to verge.
170,2018-02-08,180208_M11_005,180208_M11_005_COND.jpg,180208_M11_005_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,230.0,230,YES,11608.0,27/9+50,27/7+50,51.42.888,0.08.656,51.42.774,00.08.703,105.0,106.0,,180208_M11_005.avi,Filter drain present. Light vegetation. All lanes to centre.
171,2018-02-08,,,,,M11,SBC,,,,,20.0,0,No,11608.0,27/7+50,27/7+30,51.42.774,00.08.703,51.42.763,00.08.763,,,,,No Filter drain. Hardstanding. All laes to verge.
172,2018-02-08,180208_M11_006,180208_M11_006_COND.jpg,180208_M11_006_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,400.0,149.0,149,YES,11608.0,27/7+30,27/2+80,51.42.763,00.08.763,51.42.688,00.08.738,107.0,108.0,,180208_M11_006.avi,Filter drain present. Light vegetation. All lanes to centre.
173,2018-02-08,,,,,M11,SBC,,,,,169.0,0,No,11608.0,27/2+80,27/1+10,51.42.688,00.08.738,51.42.602,00.08.758,,,,,No filter drain. Drainage system in place. All lanes to centre.
174,2018-02-08,180208_M11_007,180208_M11_007_COND.jpg,180208_M11_007_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,768.0,768,YES,11608.0,27/1+10,26/7,51.42.602,00.08.758,51.42.209,00.08.685,109.0,110.0,,180208_M11_007.avi,Filter drain present. Light vegetation. All lanes to centre.
175,2018-02-08,180208_M11_008,180208_M11_008_COND.jpg,180208_M11_008_COND_Report.pdf,5.0,M11,SBC,,15.0,16.0,500.0,594.0,594,YES,11608.0,26/7,26/1+30,51.42.209,00.08.685,51.41.935,00.08.480,111.0,112.0,,180208_M11_008.avi,Filter drain present. Light vegetation. All lanes to centre.
176,2018-02-08,,,,,M11,SBC,,,,,1039.0,0,No,11608.0,26/1+30,25/1,51.41.935,00.08.480,51.41.427,00.08.216,,,,,Filter drain ends and switches to NBC. All lanes to verge
177,2018-02-08,,,,,M11,SBC,,,,,347.0,0,No,11608.0,25/1,24/8,51.41.427,00.08.216,51.41.266,00.08.083,113.0,114.0,,013,"Possible filter drain between Double barerier, lamp colums every 20m. Adverse camber."
178,2018-02-08,,,,,M11,NBC,,,,,631.0,0,No,11608.0,25/1,25/7,51.41.413,00.08.199,51.41.719,00.08.376,115.0,116.0,,014,"Possible filter drain between Double barerier, lamp colums every 20m. Adverse camber."
179,2018-02-08,180208_M11_009,180208_M11_009_COND.jpg,180208_M11_009_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,400.0,101.0,101,Yes,11608.0,25/7,25/8,51.41.719,00.08.376,51.41.770,00.08.394,117.0,118.0,,180208_M11_009.avi,Filter drain present. Light vegetation. All lanes to centre.
180,2018-02-08,,,,,M11,NBC,,,,,210.0,0,No,11608.0,25/8,26/0,51.41.770,00.08.394,51.41.878,00.08.439,,,,,No Filter drain. Hardstanding. All laness to verge.
181,2018-02-08,180208_M11_010,180208_M11_010_COND.jpg,180208_M11_010_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,500.0,738.0,738,Yes,11608.0,26/0,26/7,51.41.878,00.08.439,51.42.223,00.08.681,119.0,120.0,,,Filter drain present. Light vegetation. Very silted. All lanes to centre. DIDN’T VIDEO RECORD
182,2018-02-08,180208_M11_011,180208_M11_011_COND.jpg,180208_M11_011_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,400.0,522.0,522,No,11608.0,26/7,27/2,51.42.223,00.08.681,51.42.487,00.08.760,121.0,122.0,,180208_M11_011.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to verge
183,2018-02-08,180208_M11_012,180208_M11_012_COND.jpg,180208_M11_012_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,400.0,233.0,233,No,11608.0,27/2,27/4+30,51.42.487,00.08.760,51.42.606,00.08.752,123.0,124.0,,180208_M11_012.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to verge
184,2018-02-08,,,,,M11,NBC,,,,,249.0,0,No,11608.0,27/4+30,27/6+80,51.42.606,00.08.752,51.42.733,00.08.716,,,,,No Filter drain. Hardstanding. All laes to verge.
185,2018-02-08,180208_M11_013,180208_M11_013_COND.jpg,180208_M11_013_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,400.0,321.0,321,No,11608.0,27/6+80,28/0,51.42.733,00.08.716,51.42.894,00.08.648,125.0,126.0,,180208_M11_013.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to verge
186,2018-02-08,,,,,M11,NBC,,,,,200.0,0,No,11608.0,28/0,28/2,51.42.894,00.08.648,51.42.995,00.08.609,,,,,No Filter drain. Hardstanding. Adverse camber
187,2018-02-08,180208_M11_014,180208_M11_014_COND.jpg,180208_M11_014_COND_Report.pdf,5.0,M11,NBC,,15.0,16.0,400.0,558.0,558,No,11608.0,28/2,28/7,51.42.995,00.08.609,51.43.280,00.08.519,127.0,128.0,,180208_M11_014.avi,Possible filter drain. Light Vegetation. Very silted. Aldverse camber.
188,2018-02-08,180208_M11_015,,,,M11,NBC,,15.0,16.0,400.0,525.0,525,No,11608.0,28/7,29/2,51.43.280,00.08.519,51.43.545,00.08.455,129.0,130.0,,180208_M11_015.avi,Possible filter drain. Light Vegetation. Very silted. Aldverse camber.
189,2018-02-08,180208_M11_016,,,,M11,NBC,,15.0,16.0,400.0,422.0,422,No,11608.0,29/2,29/6,51.43.545,00.08.455,51.43.759,00.08.391,131.0,132.0,,180208_M11_016.avi,Possible filter drain. Light Vegetation. Very silted. All lanes to verge
190,2018-02-08,180208_M11_017,,,,M11,NBC,,15.0,16.0,400.0,956.0,956,No,11608.0,29/6,30/5+50,51.43.759,00.08.391,51.44.235,00.08.203,133.0,134.0,,180208_M11_017.avi,Possible filter drain. Light Vegetation. Very silted. Adverse camber.
191,2018-02-09,,,,,M11,SBC,,,,,1537.0,0,No,11608.0,54/7,53/2+50,51.56.305,00.13.305,51.55.572,00.13.369,,,,,No Filter Drain. V Drain in place. All lanes to centre
192,2018-02-09,,,,,M11,SBC,,,,,1931.0,0,No,11608.0,53/2+50,51/4,51.55.572,00.13.369,51.54.615,00.13.287,,,,,No Filter Drain. Hardstanding. All lanes to verge.
193,2018-02-09,,,,,M11,SBC,,,,,518.0,0,No,11608.0,51/4,50/9,51.54.615,00.13.287,51.54.355,00.13.373,,,,,No Filter Drain. V Drain in place. All lanes to centre
194,2018-02-09,,,,,M11,SBC,,,,,1274.0,0,No,11608.0,50/9,49/7,51.54.355,00.13.373,51.53.761,00.12.985,,,,,No filter drain Present. Hardstanding and gulley lids. All lanes to centre.
195,2018-02-09,,,,,M11,NBC,,,,,6280.0,0,No,11608.0,32/4,38/4,51.45.182,00.08.721,51.48.171,00.10.555,,,,,No Filter Drain. Hardstanding. All lanes to verge.
196,2018-02-09,,,,,M11,NBC,,,,,100.0,0,No,11608.0,38/4,38/5,51.48.171,00.10.555,51.48.222,00.10.560,,,,,No Filter Drain. Hardstanding. All lanes to verge.
197,2018-02-09,,,,,M11,NBC,,,,,128.0,0,No,11608.0,38/5,38/6+30,51.48.222,00.10.560,51.48.289,00.10.570,,,,,No Filter Drain. V Drain in place. All lanes to centre
198,2018-02-09,,,,,M11,NBC,,,,,175.0,0,No,11608.0,38/6+30,38/8,51.48.289,00.10.570,51.48.381,00.10.585,,,,,No filter drain Present. Hardstanding and gulley lids. All lanes to centre.
199,2018-02-09,,,,,M11,NBC,,,,,100.0,0,No,11608.0,38/8,38/9,51.48.381,00.10.585,51.48.436,00.10.603,,,,,No Filter Drain. V Drain in place. All lanes to centre
200,2018-02-09,,,,,M11,NBC,,,,,175.0,0,No,11608.0,38/9,39/0+75,51.48.436,00.10.603,51.48.522,00.10.651,,,,,No filter drain Present. Hardstanding and gulley lids. All lanes to centre.
201,2018-02-09,,,,,M11,NBC,,,,,475.0,0,No,11608.0,39/0+75,39/4+50,51.48.522,00.10.651,51.48.734,00.10.845,,,,,No Filter Drain. V Drain in place. All lanes to centre
202,2018-02-09,,,,,M11,NBC,,,,,1003.0,0,No,11608.0,39/4+50,40/4+70,51.48.734,00.10.845,51.49.216,00.11.099,,,,,No Filter Drain. Hardstanding. All lanes to verge.
203,2018-02-09,,,,,M11,NBC,,,,,230.0,0,No,11608.0,40/4+70,40/6,51.49.216,00.11.099,51.49.338,00.11.113,,,,,No Filter Drain. V Drain in place. All lanes to centre
204,2018-02-09,,,,,M11,NBC,,,,,175.0,0,No,11608.0,40/6,40/7+25,51.49.338,00.11.113,51.49.428,00.11.145,,,,,No filter drain Present. Hardstanding and gulley lids. All lanes to centre.
205,2018-02-09,,,,,M11,NBC,,,,,100.0,0,No,11608.0,40/7+25,40/8+25,51.49.428,00.11.145,51.49.479,00.11.169,,,,,No Filter Drain. V Drain in place. All lanes to centre
206,2018-02-09,,,,,M11,NBC,,,,,490.0,0,No,11608.0,40/8+25,41/4+50,51.49.479,00.11.169,51.49.701,00.11.364,,,,,No filter drain Present. Hardstanding and gulley lids. All lanes to centre. Switcing to verge.
